,id,E0,M0,ME,T0,I10,beta,k,p,c,delta,xi,a,d_E,delta_E,K_delta_E,zeta,eta,K_I1,tau_memory,V_sse,CD8TE_sse,CD8TM_sse,sse,PID,delta/delta_E,K_delta_E/delta_E
0,23750,103189.08742834201,30390.0,0.0,40000000.0,75.0,7.458267901485947e-05,4.0,2.524420526738356,177.08885864951841,0.4102359520012659,0.10192845601246826,7.234720717461323,0.2593696255447682,3.8448105589028527,2452.647461683969,0.022389117341013766,0.0,10000.0,0.2613806555055659,1.3245130195534294,0.6466468290132057,0.09884755194312424,2.0700074005097595,103.0,0.10669861251065904,637.9111334899818
1,71200,125441.02868385149,4481.0,0.0,40000000.0,75.0,0.0001645703617980718,4.0,1.7134884265935382,231.78325731463167,0.45642460505138355,0.08913872105223601,10.0,0.467907087255732,9.679852525739417,58644.805965244515,0.008534963132532814,0.0,10000.0,0.25285737106720296,0.02856232981690653,0.05868153398342446,0.06334937572197183,0.1505932395223028,110.0,0.04715202053313499,6058.4400236784395
2,94346,133576.32102528051,6364.0,0.0,40000000.0,75.0,0.00016457041488798053,4.0,3.312914314872971,474.5109165189172,0.051757754192343644,1.787298817564341,5.400159350399461,0.0504116780239898,0.6347705710495772,2295.234045719378,0.0009862049460524225,0.0,10000.0,0.26127293121909406,0.8734733214697166,0.7881984461259147,0.03128045439128691,1.6929522219869182,111.0,0.08153773434512487,3615.8482298955137
3,117854,91874.8852892025,4888.0,0.0,40000000.0,75.0,2.1926628663493638e-06,4.0,9.879417502000743,38.41433649282487,2.1893030093268986,0.08335065697187637,4.3593718245586395,0.36427966985760735,9.826026990403989,1079.1098054230813,0.04218886784381333,0.0,10000.0,0.3793377711874066,1.2190708479812344,0.08642091652248698,0.10269582487273678,1.4081875893764582,112.0,0.22280653324735955,109.82157961472429
4,165352,1051896.950734334,17341.0,0.0,40000000.0,75.0,0.00010443575632296935,4.0,0.16905486783277401,5.417744378026927,0.07126851905437295,2.6393600084901103,6.6515101560924155,0.41663099597614633,4.412859903556971,13024.316320370026,0.001110819841989508,0.0,10000.0,0.2707256697561107,0.1810462761906608,0.12225820877088121,0.0797115192825095,0.38301600424405147,207.0,0.01615018845192144,2951.4456848883465
5,189824,156531.75176465002,5364.0,0.0,40000000.0,75.0,2.4204646526786797e-06,4.0,9.762881195005837,20.269553385183915,1.4714998047012489,0.44184685092331594,9.999999999999687,0.38204182507275736,0.11062004298872762,349.3840225604297,0.0029433170574157414,0.0,10000.0,0.251250193655316,0.24723310452304423,0.14317938199717742,0.14913970471847246,0.5395521912386941,302.0,13.302289214000734,3158.415176136142
6,213619,118044.8009209105,4836.0,0.0,40000000.0,75.0,6.636080739528217e-06,4.0,4.701985258020431,19.43731379993485,0.05065779797607927,1.0661755832127142,4.954321935631526,0.711169357793789,6.919979303888,1287.7400254551694,0.0019516668992123035,0.0,10000.0,0.271709947334193,0.43881832464417314,0.035773231850338136,0.3223290360266614,0.7969205925211726,307.0,0.007320512930958784,186.0901556066289
7,237256,85322.97844703849,16734.0,0.0,40000000.0,75.0,6.616808688843581e-05,4.0,1.9340601266476798,137.17001546760443,0.266680769925331,0.07411994233439163,7.392077529651131,0.05032597068054978,6.4285963489535,4321.420026437631,0.02307291216696994,0.0,10000.0,0.2570918443892334,1.8581638415037491,0.32860524602819896,0.03986403240547287,2.2266331199374205,308.0,0.0414835145107133,672.2182871446125
8,260852,21917.3430681975,7464.0,0.0,40000000.0,75.0,7.672552694065834e-05,4.0,2.8142548070064812,167.1544066099949,3.173883099176026,0.06468301766753158,10.0,0.4527733049849891,9.943947086002916,5392.128524037772,0.01087476582224286,0.0,10000.0,0.4344199696163073,0.05968959182918954,1.2812826057565512,0.0504510764861553,1.391423274071896,311.0,0.3191773922091338,542.2523347522357
9,284443,95894.777504065,6270.0,0.0,40000000.0,75.0,1.0001519852756336e-05,4.0,2.1628182638801703,121.22153527685475,0.0697486879506378,0.6322072366519464,9.721810935885832,0.5020860496379321,9.898743302120948,69234.78944780682,0.0020756791165936,0.0,10000.0,0.3476979261777242,2.856243049340984,0.19095645188750357,0.03830297558524473,3.0855024768137325,312.0,0.007046216456152887,6994.300926358224
10,303449,125751.18190060559,7497.818470044314,0.0,40000000.0,75.0,4.8859709573795684e-05,4.0,2.837486445279245,141.1585686358133,1.3334149210959978,0.1804064143936678,7.4308732272366,0.170830078582993,0.2734714685982894,100000.0,0.004690159653897502,0.0,10000.0,0.26602221398218484,226.63071207008304,40.755888303835654,20.6061370793609,287.9927374532796,Population,4.875883133003142,365668.85939714994
11,394012,58043.2640862935,6913.0,0.0,40000000.0,75.0,1.6296932359406004e-06,4.0,7.0365763237785455,32.81424110260824,1.5864120685027807,0.27388922575472835,6.855155295520636,1.0887844852533666,1.2465683922092938,4080.5745139402256,0.02294526763152637,0.0,10000.0,0.32302407247138226,1.1019414104014122,0.48176585839962666,0.15969445594021636,1.7434017247412554,107.0,1.2726233702197292,3273.4461578222927
12,482524,130149.547364435,2096.0,0.0,40000000.0,75.0,0.0008575193352290852,4.0,0.6055235674963386,325.28308362732827,1.5812854848110658,0.6505968967845149,3.7666499455673454,0.5469909242750414,1.2014501247367682,551.9672049042356,0.000780740006645488,0.0,10000.0,0.9928037746633264,0.447189116282685,0.3687026618515217,0.054906611840411,0.8707983899746177,204.0,1.3161474223971783,459.41749352697343
