,beta,p,c,delta,xi,a,d_E,delta_E,K_delta_E,zeta,tau_memory
103,0.00010781795726964489,0.16025114470465657,0.9763968071614247,0.8436713789347424,0.018437746726459835,0.01219775477259667,0.0011322301362556527,0.019112823775921228,5.825115086950123e-05,5.711666151945669e-05,6.323883887115455e-05
107,0.0013163595600239198,0.14702546539409475,0.8353186351165589,0.9795480597050115,0.0002881238922878391,0.0018145809925659883,0.00024819614387686307,0.000537706430761125,6.143688572914737e-05,7.643213895597455e-05,6.275697594349345e-05
110,0.00042355326456674445,0.12215632806756559,0.9491963017958499,0.639634112501507,0.03642522676086439,0.01551883311563173,0.0042552710243871274,0.045741434620263685,0.0001469415267396458,0.00019353061032476672,0.00016172645632578155
111,0.0007738331428167317,0.15882019385479276,0.9248930787148553,0.024475664190857716,0.10044973047341645,0.26281570652791947,0.00011485053379804078,0.09931936610277595,1.5131437387966536e-05,1.693356620491425e-05,1.5113500174317036e-05
112,0.0002966560421992872,0.14012922901786237,0.9546203504906335,0.9766534307501494,0.0006176810145258155,0.0034094253885808817,0.0004987373531914263,0.0006162965754636244,0.000444921840753596,0.000540983849599053,0.0005141376154474621
204,0.00044430347221470663,0.14114110364424864,0.9906839050017373,0.9888629838389134,0.0006872499071772138,0.0009871398422637082,0.00040085936391371654,0.0007787201285514237,0.00048203393476128865,0.0005323749133351116,0.000525716521396119
207,0.0009903860771502111,0.12619882560475149,0.9270680690442586,0.006012482815458847,0.03332556409039792,0.6865383212544793,0.0025286036357872084,0.04401254696518764,0.0006711744124991827,0.000710653128123034,0.0006809795654258197
302,0.00038636839726519735,0.14199661946262818,0.9904976491616062,0.9928139329353368,0.000973581418819016,0.00022514576421878667,0.0004097633007259402,0.0011048470769170675,0.0004668096148858235,0.00037354984437713845,0.00036961884226013354
307,0.0002004233108757159,0.13006556367605496,0.9549914440393891,0.008035849690970574,0.044373808972391696,0.6423956275817593,0.002608303154247664,0.04919391145478744,7.971623926687268e-06,7.073737875416427e-06,7.827531550557271e-06
308,0.00026864144336793706,0.16334315153055834,0.9565805902142612,0.5079061568473612,0.03516553484835007,0.03241562802039083,3.0318791706963687e-05,0.03278818606485653,9.212740136285909e-06,1.0490881033600516e-05,8.584498936036583e-06
311,0.0003488178455686163,0.15471410741477507,0.9887599261848944,0.978963961155468,0.0016442230896547916,0.0010153146590495012,0.000649509019489233,0.0006952524284938261,0.0004451907829977844,0.0005216523629309873,0.00046408941202984784
312,0.03742785573527635,0.14221885210093596,0.7303351549646647,0.003435081869300603,0.12499445006042918,0.5817558558311885,0.002106906072502246,0.16633256174683622,0.0017684526241361536,0.0019142252724784412,0.0018190655689558687
